Sentence,NER
"berry said : "" i`m disappointed but i do n't feel suicidal .",I-PER O O O O O O O O O O O O
"he ( mind games ) was going as well as any of them one and a half furlongs ( 300 metres ) out but he just did n't quicken . """,O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
-docstart-,O
horse racing - nunthorpe stakes results .,O O O O O O O
"york , england 1996-08-22",I-LOC O I-LOC O
"result of the nunthorpe stakes , a group one race for two-year-olds and upwards , run over five furlongs ( 1 km ) on thursday :",O O O I-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O
1. pivotal 100-30 ( ridden by george duffield ),O I-PER O O O O I-PER I-PER O
2. eveningperformance 16-1 ( chris rutter ),O I-PER O O I-PER I-PER O
3. hever golf rose 11-4 ( jason weaver ),O I-PER I-PER I-PER O O I-PER I-PER O
eight ran .,O O O
favourite : mind games ( 7-4 ) finished 4th,O O I-PER I-PER O O O O O
"distances : a short head , 1-1/4 lengths .",O O O O O O O O O
winner owned by the cheveley park stud and trained by sir,O O O O I-ORG I-ORG I-ORG O O O O
mark prescott at newmarket .,I-PER I-PER O I-LOC O
"value to winner : 72,464 pounds sterling ( $ 112,200 )",O O O O O O O O O O O
-docstart-,O
tennis - results at toshiba classic .,O O O O I-MISC I-MISC O
"carlsbad , california 1996-08-21",I-LOC O I-LOC O
results from the,O O O
"$ 450,000 toshiba classic tennis tournament on wednesday",O O I-MISC I-MISC O O O O
( prefix number denotes seeding ) :,O O O O O O O
second round,O O
1 - arantxa sanchez vicario ( spain ) beat naoko kijimuta ( japan ),O O I-PER I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
1-6 6-4 6-3,O O O
4 - kimiko date ( japan ) beat yone kamio ( japan ) 6-2 7-5,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O
sandrine testud ( france ) beat 7 - ai sugiyama ( japan ) 6-3 4-6,I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O O O
6-4,O
8 - nathalie tauziat ( france ) beat shi-ting wang ( taiwan ) 6-4,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O
6-2,O
-docstart-,O
tennis - results at hamlet cup .,O O O O I-MISC I-MISC O
"commack , new york 1996-08-21",I-LOC O I-LOC I-LOC O
results from the,O O O
waldbaum hamlet cup tennis tournament on wednesday ( prefix,I-MISC I-MISC I-MISC O O O O O O
number denotes seeding ) :,O O O O O
second round,O O
1 - michael chang ( u.s. ) beat sergi bruguera ( spain ) 6-3 6-2,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O
michael joyce ( u.s. ) beat 3 - richey reneberg ( u.s. ) 3-6 6-4,I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O O O
6-3,O
martin damm ( czech republic ) beat 6 - younes el aynaoui,I-PER I-PER O I-LOC I-LOC O O O O I-PER I-PER I-PER
( morocco ) 5-7 6-3 3-0 retired,O I-LOC O O O O O
karol kucera ( slovakia ) beat hicham arazi ( morocco ) 7-6 ( 7-4 ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O O O
7-5,O
-docstart-,O
soccer - dalglish sad over blackburn parting .,O O I-PER O O I-ORG O O
london 1996-08-22,I-LOC O
"kenny dalglish spoke on thursday of his sadness at leaving blackburn , the club he led to the english premier league title in 1994-95 .",I-PER I-PER O O O O O O O O I-ORG O O O O O O O I-MISC O O O O O O
blackburn announced on wednesday they and dalglish had parted by mutual consent .,I-ORG O O O O O I-PER O O O O O O
"but the ex-manager confessed on thursday to being "" sad "" at leaving after taking blackburn from the second division to the premier league title inside three and a half years .",O O O O O O O O O O O O O O O I-ORG O O O O O O O O O O O O O O O O
"in a telephone call to a local newspaper from his holiday home in spain , dalglish said : "" we came to the same opinion , albeit the club came to it a little bit earlier than me . """,O O O O O O O O O O O O O I-LOC O I-PER O O O O O O O O O O O O O O O O O O O O O O O O
"he added : "" if no one asked , i never opened my mouth .",O O O O O O O O O O O O O O O
i have stayed out of the way and let them get on with the job .,O O O O O O O O O O O O O O O O
"the club thought it ( the job ) had run its course and i came to the same conclusion . """,O O O O O O O O O O O O O O O O O O O O O
"dalglish had been with blackburn for nearly five years , first as manager and then , for the past 15 months , as director of football .",I-PER O O O I-ORG O O O O O O O O O O O O O O O O O O O O O O
-docstart-,O
cricket - english county championship scores .,O O I-MISC I-MISC I-MISC O O
london 1996-08-22,I-LOC O
close of play scores in four-day,O O O O O O
english county championship cricket matches on thursday :,I-MISC I-MISC I-MISC O O O O O
second day,O O
"at weston-super-mare : durham 326 ( d. cox 95 not out ,",O I-LOC O I-ORG O O I-PER I-PER O O O O
s. campbell 69 ; g. rose 7-73 ) .,I-PER I-PER O O I-PER I-PER O O O
somerset 236-4 ( m. lathwell 85 ) .,I-ORG O O I-PER I-PER O O O
firsy day,O O
"at colchester : gloucestershire 280 ( j. russell 63 , a. symonds",O I-LOC O I-ORG O O I-PER I-PER O O I-PER I-PER
52 ; a. cowan 5-68 ) .,O O I-PER I-PER O O O
essex 72-0 .,I-ORG O O
"at cardiff : kent 128-1 ( m. walker 59 , d. fulton 53 not out ) v",O I-LOC O I-ORG O O I-PER I-PER O O I-PER I-PER O O O O O
glamorgan .,I-ORG O
"at leicester : leicestershire 343-8 ( p. simmons 108 , p. nixon",O I-LOC O I-ORG O O I-PER I-PER O O I-PER I-PER
67 not out ) v hampshire .,O O O O O I-ORG O
"at northampton : sussex 368-7 ( n. lenham 145 , v. drakes 59 not",O I-LOC O I-ORG O O I-PER I-PER O O I-PER I-PER O O
"out , a. wells 51 ) v northamptonshire .",O O I-PER I-PER O O O I-ORG O
at trent bridge : nottinghamshire 392-6 ( g. archer 143 not,O I-LOC I-LOC O I-ORG O O I-PER I-PER O O
"out , m. dowman 107 ) v surrey .",O O I-PER I-PER O O O I-ORG O
"at worcester : warwickshire 255-9 ( a. giles 57 not out , w. khan",O I-LOC O I-ORG O O I-PER I-PER O O O O I-PER I-PER
52 ) v worcestershire .,O O O I-ORG O
"at headingley : yorkshire 305-5 ( c. white 66 not out , m. moxon",O I-LOC O I-ORG O O I-PER I-PER O O O O I-PER I-PER
"66 , m. vaughan 57 ) v lancashire .",O O I-PER I-PER O O O I-ORG O
-docstart-,O
cricket - england v pakistan final test scoreboard .,O O I-LOC O I-LOC O O O O
london 1996-08-22,I-LOC O
scoreboard on the first day of the,O O O O O O O
third and final test between england and pakistan at the oval on,O O O O O I-LOC O I-LOC O I-LOC I-LOC O
thursday :,O O
england first innings,I-LOC O O
m. atherton b waqar younis 31,I-PER I-PER O I-PER I-PER O
a. stewart b mushtaq ahmed 44,I-PER I-PER O I-PER I-PER O
n. hussain c saeed anwar b waqar younis 12,I-PER I-PER O I-PER I-PER O I-PER I-PER O
g. thorpe lbw b mohammad akram 54,I-PER I-PER O O I-PER I-PER O
j. crawley not out 94,I-PER I-PER O O O
n. knight b mushtaq ahmed 17,I-PER I-PER O I-PER I-PER O
c. lewis b wasim akram 5,I-PER I-PER O I-PER I-PER O
i. salisbury not out 1,I-PER I-PER O O O
extras ( lb-11 w-1 nb-8 ) 20,O O O O O O O
total ( for six wickets ) 278,O O O O O O O
fall of wickets : 1-64 2-85 3-116 4-205 5-248 6-273,O O O O O O O O O O
"to bat : r. croft , d. cork , a. mullally",O O O I-PER I-PER O I-PER I-PER O I-PER I-PER
"bowling ( to date ) : wasim akram 25-8-61-1 , waqar younis",O O O O O O I-PER I-PER O O I-PER I-PER
"20-6-70-2 , mohammad akram 12-1-41-1 , mushtaq ahmed 27-5-78-2 ,",O O I-PER I-PER O O I-PER I-PER O O
aamir sohail 6-1-17-0,I-PER I-PER O
"pakistan : aamir sohail , saeed anwar , ijaz ahmed ,",I-LOC O I-PER I-PER O I-PER I-PER O I-PER I-PER O
"inzamam-ul-haq , salim malik , asif mujtaba , wasim akram , moin",I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER
"khan , mushtaq ahmed , waqar younis , mohammad akam",I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER
-docstart-,O
soccer - ferguson back in scottish squad after 20 months .,O O I-PER O O I-MISC O O O O O
glasgow 1996-08-22,I-LOC O
"everton 's duncan ferguson , who scored twice against manchester united on wednesday , was picked on thursday for the scottish squad after a 20-month exile .",I-ORG O I-PER I-PER O O O O O I-ORG I-ORG O O O O O O O O O I-MISC O O O O O O
"glasgow rangers striker ally mccoist , another man in form after two hat-tricks in four days , was also named for the august 31 world cup qualifier against austria in vienna .",I-ORG I-ORG O I-PER I-PER O O O O O O O O O O O O O O O O O O O I-MISC I-MISC O O I-LOC O I-LOC O
"ferguson , who served six weeks in jail in late 1995 for head-butting an opponent , won the last of his five scotland caps in december 1994 .",I-PER O O O O O O O O O O O O O O O O O O O O O I-LOC O O O O O
"scotland manager craig brown said on thursday : "" i 've watched duncan ferguson in action twice recently and he 's bang in form .",I-LOC O I-PER I-PER O O O O O O O O I-PER I-PER O O O O O O O O O O O
"ally mccoist is also in great scoring form at the moment . """,I-PER I-PER O O O O O O O O O O O
"celtic 's jackie mcnamara , who did well with last season 's successful under-21 team , earns a call-up to the senior squad .",I-ORG O I-PER I-PER O O O O O O O O O O O O O O O O O O O O
-docstart-,O
cricket - england 100-2 at lunch on first day of third test .,O O I-LOC O O O O O O O O O O
london 1996-08-22,I-LOC O
england were 100 for two at lunch on the first day of the third and final test against pakistan at the oval on thursday .,I-LOC O O O O O O O O O O O O O O O O O I-LOC O I-LOC I-LOC O O O
-docstart-,O
soccer - keane signs four-year contract with manchester united .,O O I-PER O O O O I-LOC I-LOC O
london 1996-08-22,I-LOC O
ireland midfielder roy keane has signed a new four-year contract with english league and f.a. cup champions manchester united .,I-LOC O I-PER I-PER O O O O O O O I-MISC O O I-MISC I-MISC O I-ORG I-ORG O
""" roy agreed a new deal before last night 's game against everton and we are delighted , "" said united manager alex ferguson on thursday .",O I-PER O O O O O O O O O O I-ORG O O O O O O O I-ORG O I-PER I-PER O O O
-docstart-,O
tennis - results at canadian open .,O O O O I-MISC I-MISC O
toronto 1996-08-21,I-LOC O
results from the canadian open,O O O I-MISC I-MISC
tennis tournament on wednesday ( prefix number denotes,O O O O O O O O
seeding ) :,O O O
second round,O O
daniel nestor ( canada ) beat 1 - thomas muster ( austria ) 6-3 7-5,I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O O O
mikael tillstrom ( sweden ) beat 2 - goran ivanisevic ( croatia ),I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O
6-7 ( 3-7 ) 6-4 6-4,O O O O O O
3 - wayne ferreira ( south africa ) beat jiri novak ( czech,O O I-PER I-PER O I-LOC I-LOC O O I-PER I-PER O I-LOC
republic ) 7-5 6-3,I-LOC O O O
4 - marcelo rios ( chile ) beat kenneth carlsen ( denmark ) 6-3 6-2,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O
6 - malivai washington ( u.s. ) beat alex corretja ( spain ) 6-4,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O
6-2,O
7 - todd martin ( u.s. ) beat renzo furlan ( italy ) 7-6 ( 7-3 ) 6-3,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O O O O
mark philippoussis ( australia ) beat 8 - marc rosset,I-PER I-PER O I-LOC O O O O I-PER I-PER
( switzerland ) 6-3 3-6 7-6 ( 8-6 ),O I-LOC O O O O O O O
9 - cedric pioline ( france ) beat gregory carraz ( france ) 7-6,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O
( 7-1 ) 6-4,O O O O
patrick rafter ( australia ) beat 11 - alberto berasategui,I-PER I-PER O I-LOC O O O O I-PER I-PER
( spain ) 6-1 6-2,O I-LOC O O O
petr korda ( czech republic ) beat 12 - francisco clavet ( spain ),I-PER I-PER O I-LOC I-LOC O O O O I-PER I-PER O I-LOC O
6-3 6-4,O O
daniel vacek ( czech republic ) beat 13 - jason stoltenberg,I-PER I-PER O I-LOC I-LOC O O O O I-PER I-PER
( australia ) 5-7 7-6 ( 7-1 ) 7-6 ( 13-11 ),O I-LOC O O O O O O O O O O
todd woodbridge ( australia beat sebastien lareau ( canada ) 6-3,I-PER I-PER O I-LOC O I-PER I-PER O I-LOC O O
1-6 6-3,O O
alex o'brien ( u.s. ) beat byron black ( zimbabwe ) 7-6 ( 7-2 ) 6-2,I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O O O O
bohdan ulihrach ( czech republic ) beat andrea gaudenzi ( italy ),I-PER I-PER O I-LOC I-LOC O O I-PER I-PER O I-LOC O
6-3 4-6 6-1,O O O
"tim henman ( britain ) beat chris woodruff ( u.s. ) , walkover",I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O
-docstart-,O
cricket - millns signs for boland .,O O I-PER O O I-ORG O
cape town 1996-08-22,I-LOC I-LOC O
south african provincial side boland said on thursday they had signed leicestershire fast bowler david millns on a one year contract .,I-MISC I-MISC O O I-ORG O O O O O O I-ORG O O I-PER I-PER O O O O O O
"millns , who toured australia with england a in 1992/93 , replaces former england all-rounder phillip defreitas as boland 's overseas professional .",I-MISC O O O I-LOC O I-LOC O O O O O O I-LOC O I-PER I-PER O I-ORG O O O O
-docstart-,O
soccer - european cup winners ' cup results .,O O I-MISC I-MISC I-MISC I-MISC I-MISC O O
tirana 1996-08-22,I-LOC O
results of european cup winners ',O O I-MISC I-MISC I-MISC I-MISC
"cup qualifying round , second leg soccer matches on thursday :",I-MISC O O O O O O O O O O
in tirana : flamurtari vlore ( albania ) 0 chemlon humenne,O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG I-ORG
( slovakia ) 2 ( halftime 0-0 ),O I-LOC O O O O O O
"scorers : lubarskij ( 50th minute ) , valkucak ( 54th )",O O I-PER O O O O O I-PER O O O
"attendance : 5,000",O O O
chemlon humenne win 3-0 on aggregate,I-ORG I-ORG O O O O
in bistrita : gloria bistrita ( romania ) 2 valletta ( malta ) 1,O I-LOC O I-ORG I-ORG O I-LOC O O I-LOC O I-LOC O O
( 1-1 ),O O O
scorers :,O O
"gloria bistrita - ilie lazar ( 32nd ) , eugen voica ( 84th )",I-ORG I-ORG O I-PER I-PER O O O O I-PER I-PER O O O
valletta - gilbert agius ( 24th ),I-LOC O I-PER I-PER O O O
"attendance : 8,000",O O O
gloria bistrita win 4-2 on aggregate .,I-ORG I-ORG O O O O O
in chorzow : ruch chorzow ( poland ) 5 llansantffraid ( wales ) 0,O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG O I-LOC O O
( 1-0 ),O O O
"scorers : arkadiusz bak ( 1st and 55th ) , arwel jones ( 47th ,",O O I-PER I-PER O O O O O O I-PER I-PER O O O
"own goal ) , miroslav bak ( 62nd and 63rd )",O O O O I-PER I-PER O O O O O
"attendance : 6,500",O O O
ruch chorzow win 6-1 on aggregate,I-ORG I-ORG O O O O
in larnaca : aek larnaca ( cyprus ) 5 kotaik abovyan ( armenia ),O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG I-ORG O I-LOC O
0 ( 2-0 ),O O O O
"scorers : zoran kundic ( 28th ) , klimis alexandrou ( 41st ) ,",O O I-PER I-PER O O O O I-PER I-PER O O O O
"milenko kovasevic ( 60th , penalty ) , goran koprinovic ( 82nd ) ,",I-PER I-PER O O O O O O I-PER I-PER O O O O
pavlos markou ( 84th ),I-PER I-PER O O O
"attendance : 5,000",O O O
aek larnaca win 5-1 on aggregate,I-ORG I-ORG O O O O
in siauliai : kareda siauliai ( lithuania ) 0 sion,O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG
( switzerland ) 0,O I-LOC O O
"attendance : 5,000",O O O
sion win 4-2 on agrregate .,I-ORG O O O O O
in vinnytsya :,O I-LOC O
nyva vinnytsya ( ukraine ) 1 tallinna sadam ( estonia ) 0 ( 0-0 ),I-ORG I-ORG O I-LOC O O I-ORG I-ORG O I-LOC O O O O O
"attendance : 3,000",O O O
aggregate score 2-2 .,O O O O
nyva qualified on away goals rule .,I-ORG O O O O O O
in bergen : brann ( norway ) 2 shelbourne ( ireland ) 1 ( 1-1 ),O I-LOC O I-ORG O I-LOC O O I-ORG O I-LOC O O O O O
scorers :,O O
"brann - mons ivar mjelde ( 10th ) , jan ove pedersen ( 72nd )",I-ORG O I-PER I-PER I-PER O O O O I-PER I-PER I-PER O O O
shelbourne - mark rutherford ( 5th ),I-ORG O I-PER I-PER O O O
"attendance : 2,189",O O O
brann win 5-2 on aggregate,I-ORG O O O O
in sofia : levski sofia ( bulgaria ) 1 olimpija ( slovenia ) 0,O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG O I-LOC O O
( 0-0 ),O O O
scorer : ilian simeonov ( 58th ),O O I-PER I-PER O O O
"attendance : 25,000",O O O
aggregate 1-1 .,O O O
olimpija won 4-3 on penalties .,I-ORG O O O O O
in vaduz : vaduz ( liechtenstein ) 1 raf riga ( latvia ) 1 ( 0-0 ),O I-LOC O I-LOC O I-LOC O O I-ORG I-ORG O I-LOC O O O O O
scorers :,O O
vaduz - daniele polverino ( 90th ),I-LOC O I-PER I-PER O O O
raf riga - agrins zarins ( 47th ),I-ORG I-ORG O I-PER I-PER O O O
aggregate 2-2 .,O O O
vaduz won 4-2 on penalties .,I-LOC O O O O O
in luxembourg : us luxembourg ( luxembourg ) 0 varteks varazdin,O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG I-ORG
( croatia ) 3 ( 0-0 ),O I-LOC O O O O O
"scorers : drazen beser ( 63rd ) , miljenko mumler ( penalty ,",O O I-PER I-PER O O O O I-PER I-PER O O O
"78th ) , jamir cvetko ( 87th )",O O O I-PER I-PER O O O
attendance : 800,O O O
varteks varazdin win 5-1 on aggregate .,I-ORG I-ORG O O O O O
in torshavn : havnar boltfelag ( faroe islands ) 0 dynamo,O I-LOC O I-ORG I-ORG O I-LOC I-LOC O O I-ORG
batumi ( georgia ) 3 ( 0-2 ),I-ORG O I-LOC O O O O O
dynamo batumi win 9-0 on aggregate .,I-ORG I-ORG O O O O O
in prague : sparta prague ( czech republic ) 8 glentoran,O I-LOC O I-ORG I-ORG O I-LOC I-LOC O O I-ORG
( northern ireland ) 0 ( 4-0 ),O I-LOC I-LOC O O O O O
"scorers : petr gunda ( 1st and 26th ) , lumir mistr ( 19th ) ,",O O I-PER I-PER O O O O O O I-PER I-PER O O O O
"horst siegl ( 24th , 48th , 80th ) , zdenek svoboda ( 76th ) , petr",I-PER I-PER O O O O O O O O I-PER I-PER O O O O I-PER
gabriel ( 86th ),I-PER O O O
sparta win 10-1 on aggregate .,I-ORG O O O O O
in edinburgh : hearts ( scotland ) 1 red star belgrade,O I-LOC O I-ORG O I-LOC O O I-ORG I-ORG I-ORG
( yugoslavia ) 1 ( 1-0 ),O I-LOC O O O O O
scorers :,O O
hearts - dave mcpherson ( 44th ),I-ORG O I-PER I-PER O O O
red star - vinko marinovic ( 59th ),I-ORG I-ORG O I-MISC I-MISC O O O
"attendance : 15,062",O O O
aggregate 1-1 .,O O O
red star win on away goals rule .,I-ORG I-ORG O O O O O O
in rishon-lezion : hapoel ironi ( israel ) 3 constructorul,O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG
chisinau ( moldova ) 2 ( 2-1 ),I-ORG O I-LOC O O O O O
aggregate 3-3 .,O O O
constructorul win on away goals rule .,I-ORG O O O O O O
in anjalonkoski : mypa-47 ( finland ) 1 karabach agdam,O I-MISC O I-ORG O I-LOC O O I-ORG I-ORG
( azerbaijan ) 1 ( 0-0 ),O I-LOC O O O O O
mypa-47 win 2-1 on aggregate .,I-ORG O O O O O
in skopje : sloga jugomagnat ( macedonia ) 0 kispest honved,O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG I-ORG
( hungary 1 ( 0-0 ),O I-LOC O O O O
kispest honved win 2-0 on aggregate .,I-ORG I-ORG O O O O O
add hapoel ironi v constructorul chisinau,I-ORG I-ORG I-ORG O I-ORG I-ORG
scorers :,O O
"rishon - moshe sabag ( 10th minute ) , nissan kapeta ( 26th ) ,",I-ORG O I-PER I-PER O O O O O I-PER I-PER O O O O
tomas cibola ( 58th ) .,I-PER I-PER O O O O
"constructorol - sergei rogachev ( 42nd ) , gennadi skidan",I-ORG O I-PER I-PER O O O O I-PER I-PER
( 87th ) .,O O O O
"attendance : 1,500 .",O O O O
-docstart-,O
soccer - gothenburg put ferencvaros out of euro cup .,O O I-LOC O I-ORG O O I-MISC I-MISC O
budapest 1996-08-21,I-LOC O
ifk gothenburg of sweden drew 1-1 ( 1-0 ) with ferencvaros of hungary in the second leg of their european champions cup preliminary round tie played on wednesday .,I-ORG I-ORG O I-LOC O O O O O O I-ORG O I-LOC O O O O O O I-MISC I-MISC I-MISC O O O O O O O
gothenburg go through 4-1 on aggregate .,I-LOC O O O O O O
scorers :,O O
ferencvaros :,I-ORG O
ferenc horvath ( 15th ),I-PER I-PER O O O
ifk gothenburg :,I-ORG I-ORG O
andreas andersson ( 87th ),I-PER I-PER O O O
"attendance : 9,000",O O O
-docstart-,O
soccer - brazilian championship results .,O O I-MISC O O O
rio de janeiro 1996-08-22,I-LOC I-LOC I-LOC O
results of midweek,O O O
matches in the brazilian soccer championship .,O O O I-MISC O O O
bahia 2 atletico paranaense 0,I-ORG O I-ORG I-ORG O
corinthians 1 guarani 0,I-ORG O I-ORG O
coritiba 1 atletico mineiro 0,I-ORG O I-ORG I-ORG O
cruzeiro 2 vitoria 1,I-ORG O I-ORG O
flamengo 0 juventude 1,I-ORG O I-ORG O
goias 3 sport recife 1,I-ORG O I-ORG I-ORG O
gremio 6 bragantino 1,I-ORG O I-ORG O
palmeiras 3 vasco da gama 1,I-ORG O I-ORG I-ORG I-ORG O
portuguesa 2 parana 0,I-ORG O I-ORG O
-docstart-,O
tennis - newcombe ponders his davis cup future .,O O I-PER O O I-MISC I-MISC O O
sydney 1996-08-22,I-LOC O
australian davis cup captain john newcombe on thursday signalled his possible resignation if his team loses an away tie against croatia next month .,I-MISC I-MISC I-MISC O I-PER I-PER O O O O O O O O O O O O O O I-LOC O O O
the former wimbledon champion said the immediate future of australia 's davis cup coach tony roche could also be determined by events in split .,O O I-MISC O O O O O O I-LOC O I-MISC I-MISC O I-PER I-PER O O O O O O O I-LOC O
""" if we lose this one , tony and i will have to have a good look at giving someone else a go , "" newcombe was quoted as saying in sydney 's daily telegraph newspaper .",O O O O O O O I-PER O O O O O O O O O O O O O O O O O I-PER O O O O O I-LOC O I-ORG I-ORG O O
australia face croatia in the world group qualifying tie on clay from september 20-22 .,I-LOC O I-LOC O O O O O O O O O O O O
"under newcombe 's leadership , australia were relegated from the elite world group last year , the first time the 26-time davis cup winners had slipped from the top rank .",O I-PER O O O I-LOC O O O O O O O O O O O O O O O I-MISC I-MISC O O O O O O O O
"since taking over as captain from neale fraser in 1994 , newcombe 's record in tandem with roche , his former doubles partner , has been three wins and three losses .",O O O O O O I-PER I-PER O O O I-PER O O O O O I-PER O O O O O O O O O O O O O O
"newcombe has selected wimbledon semifinalist jason stoltenberg , patrick rafter , mark philippoussis , and olympic doubles champions todd woodbridge and mark woodforde to face the croatians .",I-PER O O I-MISC O I-PER I-PER O I-PER I-PER O I-PER I-PER O O I-MISC O O I-PER I-PER O I-PER I-PER O O O I-MISC O
"the home side boasts world number six goran ivanisevic , and newcombe conceded his players would be hard-pressed to beat the croatian number one .",O O O O O O O I-PER I-PER O O I-PER O O O O O O O O O I-MISC O O O
""" we are ready to fight to our last breath -- australia must play at its absolute best to win , "" said newcombe , who described the tie as the toughest he has faced as captain .",O O O O O O O O O O O I-LOC O O O O O O O O O O O I-PER O O O O O O O O O O O O O O
"australia last won the davis cup in 1986 , but they were beaten finalists against germany three years ago under fraser 's guidance .",I-LOC O O O I-MISC I-MISC O O O O O O O O O I-LOC O O O O I-PER O O O
-docstart-,O
badminton - malaysian open results .,O O I-MISC I-MISC O O
kuala lumpur 1996-08-22,I-LOC I-LOC O
results in the malaysian,O O O I-MISC
open badminton tournament on thursday ( prefix number denotes,I-MISC O O O O O O O O
seeding ) :,O O O
"men 's singles , third round",O O O O O O
9/16 - luo yigang ( china ) beat hwang sun-ho ( south korea ) 15-3,O O I-PER I-PER O I-LOC O O I-PER I-MISC O I-LOC I-LOC O O
15-7,O
jason wong ( malaysia ) beat abdul samad ismail ( malaysia ) 16-18,I-PER I-PER O I-LOC O O I-PER I-PER I-PER O I-LOC O O
15-2 17-14,O O
p. kantharoopan ( malaysia ) beat 3/4 - jeroen van dijk,I-PER I-PER O I-LOC O O O O I-PER I-PER I-PER
( netherlands ) 15-11 18-14,O I-LOC O O O
wijaya indra ( indonesia ) beat 5/8 - pang chen ( malaysia ) 15-6,I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O O
6-15 15-7,O O
3/4 - hu zhilan ( china ) beat nunung subandoro ( indonesia ) 5-15,O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O
18-15 15-6,O O
9/16 - hermawan susanto ( indonesia ) beat 1 - fung permadi ( taiwan ),O O I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O
15-8 15-12,O O
women 's singles 2nd round,O O O O O
1 - wang chen ( china ) beat cindana ( indonesia ) 11-3 1ama ( japan ) beat margit borg ( sweden ) 11-6 11-6,O O I-PER I-PER O I-LOC O O I-PER O I-LOC O O I-PER O I-LOC O O I-PER I-PER O I-LOC O O O
sun jian ( china ) beat marina andrievskaqya ( sweden ) 11-8 11-2,I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O
5/8 - meluawati ( indonesia ) beat chan chia fong ( malaysia ) 11-6,O O I-PER O I-LOC O O I-PER I-PER I-PER O I-LOC O O
11-1,O
gong zhichao ( china ) beat liu lufung ( china ) 6-11 11-7 11-3,I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O O O
zeng yaqiong ( china ) beat li feng ( new zealand ) 11-9 11-6,I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC I-LOC O O O
5/8 - christine magnusson ( sweden ) beat ishwari boopathy,O O I-PER I-PER O I-LOC O O I-PER I-PER
( malaysia ) 11-1 10-12 11-4,O I-LOC O O O O
2 - zhang ning ( china ) beat olivia ( indonesia ) 11-8 11-6,O O I-PER I-PER O I-LOC O O I-PER O I-LOC O O O
-docstart-,O
tennis - revised men 's draw for u.s. open .,O O O O O O O I-MISC I-MISC O
new york 1996-08-22,I-LOC I-LOC O
revised singles draw for the,O O O O O
u.s. open tennis championships beginning monday at the u.s .,I-MISC I-MISC O O O O O O I-LOC O
national tennis centre ( prefix denotes seeding ) :,I-LOC I-LOC I-LOC O O O O O O
men 's draw,O O O
1 - pete sampras ( u.s. ) vs. adrian voinea ( romania ),O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
jiri novak ( czech republic ) vs. qualifier,I-PER I-PER O I-LOC I-LOC O O O
magnus larsson ( sweden ) vs. alexander volkov ( russia ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
mikael tillstrom ( sweden ) vs qualifier,I-PER I-PER O I-LOC O O O
qualifier vs. andrei olhovskiy ( russia ),O O I-PER I-PER O I-LOC O
mark woodforde ( australia ) vs. mark philippoussis ( australia ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
roberto carretero ( spain ) vs. jordi burillo ( spain ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
francisco clavet ( spain ) vs. 16 - cedric pioline ( france ),I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O
------------------------,O
9 - wayne ferreira ( south africa ) vs. qualifier,O O I-PER I-PER O I-LOC I-LOC O O O
karol kucera ( slovakia ) vs. jonas bjorkman ( sweden ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
qualifier vs. christian rudd ( norway ),O O I-PER I-PER O I-LOC O
